source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
oDdD_iSi_MAW,Tandteknikerbiträde,http://data.europa.eu/esco/occupation/76bded28-876a-40b2-9efb-3123c8f14cf6,tandtekniker,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oFwf_BeY_DEs,"Lärling, teleskoptruckförare",http://data.europa.eu/esco/occupation/b5b8c259-7557-4f5f-9f56-155b038946c1,bandlastarförare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oH9v_baf_a3d,Idrottsplatsvaktmästare,http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,vaktmästare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oLZD_A6M_D3F,"Översättare, facktexter",http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,översättare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oLZD_A6M_D3F,"Översättare, facktexter",http://data.europa.eu/esco/occupation/55d2eb3e-1e49-404a-b4bf-be4829694a59,juristlingvist,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oLZD_A6M_D3F,"Översättare, facktexter",http://data.europa.eu/esco/occupation/da4589ce-7534-4cc1-9ce4-cabf9364b87c,lokaliserare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oM6Y_bP4_41Z,Skogskonsulent,http://data.europa.eu/esco/occupation/6c7d333a-b2a9-4325-b25b-566d1ecc956d,skogsplanläggare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oM6Y_bP4_41Z,Skogskonsulent,http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,skogvaktare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oM6Y_bP4_41Z,Skogskonsulent,http://data.europa.eu/esco/occupation/fa32eb3f-5c9f-4668-8f85-5eefb3badab8,skogsrådgivare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oPcU_Dcj_6cq,Samhällsvägledare,http://data.europa.eu/esco/occupation/5727b567-993d-4d41-a13d-81a6af1a9a8e,socialrådgivare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oRB5_b7i_Qzv,Köksbiträde,http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c,köksbiträde,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oRBx_v9Q_vH2,"Forskare, jordbruk",http://data.europa.eu/esco/occupation/6a3d3d28-0ab6-49b0-9a32-697e5e104bf1,markforskare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oRBx_v9Q_vH2,"Forskare, jordbruk",http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044,jordbruksforskare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oSg4_2uU_wpN,Devops utvecklare,http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,IKT-systemadministratör,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oSg4_2uU_wpN,Devops utvecklare,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,Cloud DevOps-tekniker,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oV7J_UML_Zy2,Formgivare,http://data.europa.eu/esco/occupation/34c57104-ff9b-4003-809e-56eece3cb4d5,smyckesformgivare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oV7J_UML_Zy2,Formgivare,http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90,formgivare av lädervaror,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oV7J_UML_Zy2,Formgivare,http://data.europa.eu/esco/occupation/ab7bccb2-6f81-4a3d-a0c0-fca5d47d2775,industridesigner,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oXqv_9m5_6Dn,Lantbruksekonom,http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,agronom,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oeg9_aaz_cgC,Verksamhetschef inom trossamfund,http://data.europa.eu/esco/occupation/ed256ed0-0432-4969-8544-3e5e01a517a9,religiös ledare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
of8z_oz7_gBp,Receptionschef hotell,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,rumschef,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
of8z_oz7_gBp,Receptionschef hotell,http://data.europa.eu/esco/occupation/82025c02-9082-416c-998b-f51eb0359ee6,receptionist inom hotell- och restaurangbranschen,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ofiS_5F2_YmV,HR-assistent,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,HR-assistent,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
og19_pme_uyL,Specialisttandläkare inom käkkirurgi,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,specialisttandläkare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ohL8_tZ7_Lsm,Golfinstruktör,http://data.europa.eu/esco/occupation/09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1,golfinstruktör,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ojEj_nt6_PCa,Löneadministratör/Lönekonsult,http://data.europa.eu/esco/occupation/ade351da-7bda-424e-8682-bbdcab2a25be,löneassistent,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
om9i_fYm_RSu,Forskningskommunikatör,http://data.europa.eu/esco/occupation/b89ba3a8-f03a-46b8-ac54-c87d7204aad0,talesperson,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ooRg_ZrL_uVU,"Produktchef, marknadsföring",http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,marknadsföringschef,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ooRg_ZrL_uVU,"Produktchef, marknadsföring",http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890,produktchef,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ooRg_ZrL_uVU,"Produktchef, marknadsföring",http://data.europa.eu/esco/occupation/e5a63940-57d3-4065-8713-74b4e2c93063,"produktchef, marknadsföring",exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oohW_snt_MqM,Trafikledare,http://data.europa.eu/esco/occupation/656674ac-9d4e-4a91-963f-c0b6edfd55a4,"övervakare, busstrafik",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oohW_snt_MqM,Trafikledare,http://data.europa.eu/esco/occupation/e9640041-ca34-4955-aa8c-629717d0dcda,"trafikledare, spårväg",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
opk4_E3a_8Pt,Instrumenttekniker,http://data.europa.eu/esco/occupation/f8ab2e08-d14e-4938-a2cd-c04821556db7,hemelektroniktekniker,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
otRF_t2h_Sja,Motorschaktvagnförare,http://data.europa.eu/esco/occupation/cb3c0f82-a79b-4518-ad1f-5463b3e74831,motorschaktvagnförare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,emaljör,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/103aaf7a-48da-4e25-99fc-5cf1ee1388b1,"guld- och silversmed, specialiserad på filigran",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/375137f7-5fc2-424e-9f63-d7ff4441c11e,"gravör, ädelmetall",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/618a854a-4ecd-4535-84e6-350e1fe0aa0f,juvelerare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/8a007cd3-ba40-4c55-b238-587bd59e74b2,guldsmed,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouHN_LPH_a3A,Guldsmed,http://data.europa.eu/esco/occupation/dc52966e-72db-4ad0-b3a9-5e17f1311ab8,juvelreparatör,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
ouQJ_4hT_WKV,Geotekniker,http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d,ingenjörsgeolog,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p17k_znk_osi,Utesäljare,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,utesäljare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p17k_znk_osi,Utesäljare,http://data.europa.eu/esco/occupation/4c6b3657-316e-43b5-872a-ea763411190d,elförsäljare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p17k_znk_osi,Utesäljare,http://data.europa.eu/esco/occupation/ff3a164d-4045-4511-a472-49093dabf9fc,"försäljare, förnybar energi",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p299_kkg_67z,Föreståndare camping/stugby/vandrarhem,http://data.europa.eu/esco/occupation/6aef7360-8c4a-4e1a-a402-b1e207101dc8,campingchef,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
